f,Customer Rating,room name,room categories,locations,net_cp,net_map,net_ap,net_cp_kid,net_map_kid,hotel_email
Jalakara,1,Private Villa,Premium,Havelock Island,34810,,,Null,Null,
Jalakara,1,Garden Suite,Deluxe,Havelock Island,23010,,,Null,Null,
Barefoot Resort,1,Nicobari Villa,Luxury,Havelock Island,32450,34786,39034,Null,Null,
Silver sand Beach resort,1,Indulgence Suite,Luxury,Havelock Island,24544,26904,29264,2500,2500,
Jalakara,1,Design Suite,Deluxe,Havelock Island,15930,,,Null,Null,
Barefoot Resort,1,Duplex Cottage,Luxury,Havelock Island,30090,34338,36674,Null,Null,
Tilar Siro,1,Sea Facing Room,Luxury,Havelock Island,21375,24375,27375,2475,2475,
Sea Shell,1,Andaman Bungalow,Luxury,Havelock Island,20296,23836,27376,2360,2360,
Barefoot Resort,1,Andaman Villa,Deluxe,Havelock Island,25370,25370,33866,Null,Null,
Silver sand Beach resort,1,Pool Villa,Deluxe,Havelock Island,18880,21240,23600,2500,2500,
Jalakara,1,Design Room,Deluxe,Havelock Island,20650,,,Null,Null,
Tilar Siro,1,Garden View Room,Deluxe,Havelock Island,18375,21375,24375,2475,2475,
Tilar Siro,1,Sea View Villa with Private Pool,Deluxe,Havelock Island,33750,36750,39750,,,
Barefoot Resort,1,Nicobari Cottage,Luxury,Havelock Island,32450,36698,40946,Null,Null,
Silver sand Beach resort,1,Andaman Exotica,Deluxe,Havelock Island,16992,19352,21712,2500,2500,
Silver sand Beach resort,1,Andaman Lagoon,Deluxe,Havelock Island,15104,17464,19824,2500,2500,
Dolphin Beach Resort,1,VIP Cottage,Deluxe,Havelock Island,17700,19470,21240,1200,1200,
Havelock Island Beach Resort,1,Luxury Suite Cottage,Premium,Havelock Island,13570,15930,18990,2360,2360,
Havelock Island Beach Resort,1,Family Suite Cottage,Premium,Havelock Island,13570,15930,18990,2360,2360,
Sea Shell,1,Havelock Cabana,Premium,Havelock Island,14160,17700,21240,2360,2360,
Sandyy Wavess Beach Resort,1,Family Suite,Premium,Havelock Island,11800,13374,14950,1680,1680,
Silver sand Beach resort,1,Andaman Cottage,Premium,Havelock Island,13816,16176,18536,2500,2500,
Barefoot Resort,1,Tented Cottage,Premium,Havelock Island,14750,18998,23246,Null,Null,
Silver sand Beach resort,1,Andaman Pearl,Premium,Havelock Island,12272,14632,16992,2500,2500,
Sea Shell,1,Andaman Lagoon,Premium,Havelock Island,11800,15340,18880,2360,2360,
Ocean Tree Beach Resort & Spa,1,Honeymoon VillaDeluxe Room,Premium,Havelock Island,10030,12270,14510,Null,Null,
Sandyy Wavess Beach Resort,1,Superior,Premium,Havelock Island,9440,11014,12590,1680,1680,
Sea Shell,1,Andaman Chalet,Premium,Havelock Island,10856,14396,17936,2360,2360,
Havelock Island Beach Resort,1,Suite Cottage,Premium,Havelock Island,10030,12390,14750,2360,2360,
Silver sand Beach resort,1,Andaman Villa,Premium,Havelock Island,10384,12744,15104,2500,2500,
Silver Sand Village Resort,1,Andaman Cabana,Premium,Havelock Island,11798,13804,15810,2000,2000,
Aparupa Sands Marina,1,Luxury,Premium,Havelock Island,6000,7500,9000,1800,1800,
Havelock Holiday Beach Resort,1,Family Room,Budget,Havelock Island,8400,,,1344,1344,
Sandyy Wavess Beach Resort,1,Premium,Budget,Havelock Island,7280,8854,10430,1680,1680,
Ocean Tree Beach Resort & Spa,1,Villa Plus,Budget,Havelock Island,7280,9520,11760,,,
Sea Shell,1,Andaman Cottage,Budget,Havelock Island,8064,11604,15144,2360,2360,
Silver Sand Village Resort,1,Andaman Chalet,Budget,Havelock Island,8064,10424,12784,2000,2000,
Aparupa Sands Marina,1,Deluxe Cottage,Budget,Havelock Island,5500,7000,8500,1800,1800,
Symphony Palms,1,Lagoon Suite,Budget,Havelock Island,6900,8800,10200,2800,2800,
Aquays Hotels & Resorts,1,Family Plaza,Budget,Havelock Island,7700,11300,14900,1800,1800,
Hotel Haywizz Havelock Island,1,Deluxe Room With Private Pool,Budget,Havelock Island,7500,8800,10100,1680,1680,
Havelock Island Beach Resort,1,Deluxe Cottage,Budget,Havelock Island,6160,8520,10880,2360,2360,
Ocean Tree Beach Resort & Spa,1,Villa (Pool View),Budget,Havelock Island,6160,8400,10640,,,
Havelock Holiday Beach Resort,1,Royal Rein Room,Budget,Havelock Island,7200,,,1344,1344,
Aparupa Sands Marina,1,Executive Cottage,Budget,Havelock Island,4500,6000,7500,1800,1800,
Symphony Palms,1,Havelock Cottage,Budget,Havelock Island,5900,7800,9700,2800,2800,
Sea Shell,1,Andaman Villa,Budget,Havelock Island,6720,10260,13800,2360,2360,
Symphony Palms,1,Eco Villa,Budget,Havelock Island,5400,7300,9200,2800,2800,
TSG Blue,1,Tropical Cottage,,Havelock Island,6350,,,1100,1100,
Havelock Holiday Beach Resort,1,Modern Margin Room,,Havelock Island,6160,,,1344,1344,
Dolphin Beach Resort,1,Deluxe Cottage,,Havelock Island,7080,8850,10620,1200,1200,
Symphony Palms,1,Casa Grande,Premium,Havelock Island,4900,6800,8700,2800,2800,
Aquays Hotels & Resorts,1,Lagoon Plaza,,Havelock Island,6000,7800,9600,1800,1800,
TSG Blue,1,Aqua Pool -View,,Havelock Island,5750,,,1300,1300,
TSG Blue,1,Flora Double,,Havelock Island,5550,,,1700,1700,
Havelock Holiday Beach Resort,1,Studio Room,,Havelock Island,5076,,,1344,1344,
